,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,53,86,27.54,ziro,286.46,1.65
1,0,18,18.44,kidal,296.81,0.99
2,100,82,-26.65,luderitz,289.15,4.6
3,20,49,-42.78,new norfolk,286.55,6.2
4,88,90,15.34,vaini,293.69,1.34
5,0,33,13.93,edd,302.24,0.81
6,20,55,-42.88,hobart,286.55,6.2
7,32,83,28.66,los llanos de aridane,293.23,7.2
8,6,49,25.33,mangrol,294.32,2.05
9,99,61,69.22,ilulissat,265.52,2.19
10,89,72,-0.6,hithadhoo,300.8,2.44
11,75,70,-53.16,punta arenas,279.7,19.5
12,98,45,-18.06,opuwo,295.48,3.18
13,81,77,-34.53,bredasdorp,290.63,6.7
14,100,96,-30.74,port shepstone,290.93,4.62
15,100,91,-23.12,rikitea,297.65,3.09
16,27,97,-42.48,castro,277.15,1.66
17,69,73,-17.91,rundu,295.15,1.5
18,51,88,-33.59,port alfred,292.04,4.02
19,66,68,-33.64,busselton,287.7,0.28
20,100,64,-21.21,avarua,296.15,3.1
21,75,86,-54.81,ushuaia,277.15,7.2
22,90,58,-34.58,flinders,288.67,6.2
23,0,26,-23.58,bluff,302.68,4.3
24,1,86,11.74,el nispero,296.8,3.29
25,51,51,-16.26,pocone,301.65,2.16
26,75,95,71.97,saskylakh,247.47,1.95
27,0,78,27.15,minab,295.57,1.32
28,20,66,35.73,hasaki,282.56,2.6
29,90,98,49.72,geraldton,273.15,1.0
30,67,72,38.52,ribeira grande,288.17,4.33
31,5,77,50.68,severo-kurilsk,275.74,1.58
32,5,80,47.66,torbay,277.27,5.7
33,3,73,-9.8,atuona,300.35,7.41
34,67,91,-34.0,kruisfontein,285.51,4.46
35,79,82,69.7,pevek,261.12,2.27
36,16,70,3.07,butaritari,302.3,4.21
37,62,62,46.84,balkhash,274.19,3.46
38,40,74,21.39,nanakuli,301.27,4.6
39,90,80,59.7,nikolskoye,273.95,6.0
40,99,71,53.87,shirokiy,279.26,2.68
41,91,84,68.75,cherskiy,261.99,1.53
42,50,30,-46.43,mar del plata,287.38,10.33
43,40,58,2.82,boa vista,304.15,2.6
44,0,40,-8.93,airai,300.0,2.48
45,75,56,47.38,cap-aux-meules,279.15,6.7
46,75,72,38.73,praia da vitoria,289.15,5.76
47,1,30,-13.71,pisco,293.02,9.3
48,99,92,29.7,tiznit,287.27,2.84
49,99,83,2.04,mogadishu,300.01,6.7
50,83,77,-33.93,cape town,292.08,2.6
51,16,36,-28.65,byron bay,300.59,7.7
52,5,84,-22.97,arraial do cabo,297.11,5.8
53,54,82,-20.63,ponta do sol,294.95,1.11
54,83,81,-33.02,east london,292.42,7.61
55,17,79,-10.12,coruripe,298.32,7.68
56,93,72,33.08,hanzhong,286.81,0.82
57,100,87,-2.57,kavieng,299.35,9.1
58,90,85,69.44,tuktoyaktuk,265.15,2.6
59,20,55,-43.03,margate,286.56,6.2
60,90,77,30.16,panama city,293.71,1.5
61,71,73,18.62,coahuayana,297.56,0.62
62,75,62,8.96,lebu,287.15,4.1
63,0,87,-17.73,caravelas,296.32,3.72
64,30,73,-3.38,mto wa mbu,294.38,3.49
65,40,76,33.93,katsuura,283.08,3.6
66,0,18,12.75,sabla,300.08,2.59
67,0,68,-38.31,barrow,281.95,2.06
68,97,92,70.62,chokurdakh,256.83,2.85
69,100,95,66.77,zhigansk,251.25,5.81
70,40,45,-32.59,clarence town,292.64,7.7
71,75,93,37.14,lagoa,289.43,4.6
72,83,80,-34.42,hermanus,293.4,3.58
73,30,76,69.38,leningradskiy,265.46,2.02
74,75,83,65.95,aykhal,247.15,3.0
75,90,53,39.95,kodiak,281.77,4.1
76,94,71,38.25,afsin,277.68,1.95
77,75,88,-20.41,mahebourg,296.35,3.6
78,75,94,22.08,kapaa,299.27,3.6
79,1,53,48.15,williston,269.04,3.6
80,100,96,-30.17,cidreira,294.17,8.62
81,20,83,5.36,bingerville,301.15,2.1
82,75,77,69.49,talnakh,256.15,8.0
83,0,89,-3.32,bandundu,294.75,1.76
84,20,44,37.01,nizip,280.15,1.56
85,3,30,-33.21,jamestown,289.31,3.04
86,75,79,68.22,aklavik,267.58,2.6
87,100,98,59.44,vitim,256.74,1.37
88,99,61,68.82,qasigiannguit,265.52,2.19
89,22,46,-6.72,inyonga,294.23,3.09
90,6,29,-23.98,dutlwe,299.32,7.18
91,99,71,53.33,pachelma,278.88,9.51
92,75,81,35.55,toyooka,283.15,3.6
93,20,100,39.45,saint george,285.15,2.58
94,93,89,-26.98,san patricio,297.52,3.33
95,13,22,12.35,marabba,303.43,3.28
96,20,100,47.07,koflach,279.64,2.1
97,1,67,40.87,arcata,289.58,1.5
98,90,56,45.36,saint-philippe,280.07,6.7
99,100,76,-46.28,kaitangata,288.15,1.79
100,90,65,45.25,sainte-martine,280.09,5.7
101,17,35,42.43,khasan,279.92,5.43
102,100,69,49.03,erdenet,269.31,1.67
103,93,71,-9.87,alta floresta,297.76,0.96
104,0,29,-45.87,comodoro rivadavia,289.15,10.3
105,32,48,37.17,sitka,284.55,5.36
106,90,50,-34.72,port lincoln,290.14,5.18
107,44,73,43.7,razdolnoye,274.79,0.62
108,100,69,62.23,klaksvik,276.15,3.6
109,75,65,-19.55,isangel,300.15,4.1
110,20,52,20.89,kahului,301.99,5.1
111,49,67,-8.26,conceicao do araguaia,299.08,0.44
112,24,95,-1.82,cururupu,295.39,1.15
113,64,72,-7.94,srandakan,298.64,3.46
114,90,58,-34.67,kiama,288.06,6.2
115,1,67,40.8,eureka,289.58,1.5
116,75,79,58.81,fort nelson,269.15,4.6
117,90,79,63.75,iqaluit,268.15,3.1
118,90,37,43.97,saint anthony,282.88,4.6
119,85,67,11.47,qandala,300.01,3.72
120,90,72,55.74,thompson,261.15,5.7
121,100,94,60.14,nanortalik,275.49,10.93
122,100,71,2.67,kudahuvadhoo,301.21,2.99
123,75,67,37.72,vila franca do campo,290.15,3.6
124,76,93,-33.68,san pedro,290.86,0.89
125,61,81,41.42,saldanha,280.75,6.35
126,21,78,-8.43,muncar,298.43,1.11
127,90,87,37.46,half moon bay,295.54,4.1
128,0,64,42.33,shizunai,277.37,2.37
129,73,75,43.65,erenhot,275.23,3.79
130,1,70,39.31,port elizabeth,283.49,2.63
131,100,92,-33.69,chuy,288.7,1.59
132,94,93,48.95,saint-pierre,281.63,6.7
133,0,75,-17.17,itanhem,295.76,2.08
134,8,29,-24.09,san pedro de ycuamandiyu,305.96,2.05
135,75,66,-17.73,tautira,303.15,4.6
136,38,66,-38.55,necochea,284.4,4.33
137,75,74,16.86,acapulco,303.15,4.1
138,2,76,49.98,pszczyna,282.63,5.7
139,0,85,27.87,tansen,285.1,1.7
140,24,75,-16.48,faanui,300.6,3.75
141,18,80,61.77,lyaskelya,266.27,3.13
142,75,94,7.53,santo tomas,299.15,0.89
143,90,77,31.6,nacogdoches,293.01,2.6
144,20,88,-6.1,teluknaga,298.37,2.6
145,75,74,-11.0,riberalta,302.15,1.2
146,20,94,-9.67,maceio,296.15,3.1
147,1,47,30.3,harper,297.13,3.1
148,100,78,59.1,vao,274.46,6.23
149,36,19,-29.67,springbok,290.3,1.12
150,0,55,35.87,bijar,278.21,0.96
151,0,51,-35.17,ahipara,305.93,2.72
152,40,51,24.15,la paz,300.77,5.1
153,100,86,51.37,zaozerne,284.52,5.25
154,22,55,25.37,umarkot,299.21,3.12
155,91,67,50.56,husavik,265.63,3.13
156,5,66,22.89,cabo san lucas,302.19,2.6
157,34,77,-16.7,fare,300.43,5.72
158,75,88,4.91,rosarito,297.15,2.1
159,1,95,20.78,taunggyi,289.87,1.48
160,0,73,65.58,lavrentiya,270.35,2.79
161,100,93,48.68,atasu,272.21,3.29
162,40,67,60.79,bethel,265.66,7.7
163,40,78,17.01,salalah,299.15,2.1
164,100,93,-46.13,tuatapere,286.48,2.24
165,30,64,25.19,naraini,294.74,1.41
166,1,77,32.45,statesboro,291.19,1.5
167,40,88,6.8,georgetown,299.09,2.1
168,100,93,56.83,ljungby,276.02,6.7
169,0,32,10.3,birao,296.71,2.19
170,29,35,-20.24,miranda,305.33,2.85
171,69,91,-4.88,carauari,297.7,1.07
172,0,74,61.99,raudeberg,272.25,3.6
173,90,34,-51.62,rio gallegos,284.15,14.9
174,20,65,-0.74,puerto ayora,296.1,6.2
175,6,68,49.65,shaunavon,269.58,0.63
176,84,93,51.61,wyndham,282.29,5.1
177,1,24,12.18,auki,297.33,2.1
178,25,45,-18.5,coxim,302.99,2.64
179,75,54,-34.85,palmer,288.66,3.6
180,20,61,78.22,longyearbyen,262.15,8.2
181,76,93,47.55,ambon,282.74,1.5
182,27,23,-30.97,carnarvon,293.74,4.39
183,56,89,21.32,son la,289.51,0.81
184,78,93,30.29,enshi,283.12,1.02
185,40,94,10.09,miramar,295.59,4.6
186,0,83,26.33,buraydah,295.15,7.2
187,75,94,11.67,port blair,298.15,1.0
188,100,96,-34.48,rocha,289.17,1.85
189,100,78,7.98,eyl,300.15,2.29
190,75,86,63.84,grindavik,275.62,2.6
191,100,94,67.55,komsomolskiy,266.2,7.3
192,96,95,71.98,khatanga,256.38,5.95
193,98,57,38.52,jinchang,276.52,3.1
194,40,88,21.34,olpad,298.15,0.55
195,20,43,33.37,muroto,286.15,5.1
196,100,87,45.6,souillac,283.33,6.2
197,90,40,49.1,creston,284.15,3.6
198,66,53,-35.71,batemans bay,287.59,0.89
199,14,56,-22.12,henties bay,290.35,1.46
200,97,67,-17.07,ondjiva,295.63,1.27
201,53,60,-7.35,contamana,302.27,1.67
202,38,82,47.65,kedgwick,271.82,1.8
203,40,83,8.28,san pedro de uraba,301.15,1.12
204,90,65,45.63,saint-augustin,280.32,5.7
205,40,50,-32.25,dubbo,287.15,7.7
206,20,74,18.22,the valley,300.8,4.6
207,75,88,-20.34,bambous virieux,296.34,3.6
208,0,93,36.95,vittoria,287.27,1.5
209,0,87,66.32,egvekinot,261.04,0.28
210,23,71,21.11,daitari,294.8,1.93
211,40,45,-32.72,nelson bay,292.28,7.7
212,100,87,-3.7,pimentel,297.79,2.28
213,1,52,32.52,ruston,292.7,1.5
214,100,99,-2.95,kindu,293.96,0.66
215,0,20,18.69,bilma,297.18,1.87
216,90,54,49.49,darhan,270.64,3.29
217,6,46,25.06,rajsamand,293.55,0.92
218,75,93,30.39,jiancheng,288.91,1.14
219,100,58,14.9,sao filipe,300.15,6.29
220,87,93,3.87,mbaiki,294.36,0.51
221,46,78,-16.84,mocuba,296.44,1.46
222,83,74,52.47,toora-khem,266.96,0.12
223,100,90,73.51,dikson,257.55,9.33
224,40,65,50.2,sept-iles,273.15,2.1
225,92,83,4.94,cayenne,300.15,3.1
226,85,94,-0.28,boende,294.86,0.93
227,20,70,43.84,yarmouth,277.78,1.5
228,0,82,-2.92,itarema,298.33,4.13
229,20,65,25.91,brownsville,299.48,6.2
230,75,85,62.45,yellowknife,263.39,3.6
231,100,97,57.42,smiltene,275.93,3.13
232,20,83,-8.83,luanda,299.15,4.1
233,55,92,41.28,poum,281.67,1.27
234,0,86,63.05,beringovskiy,272.08,1.1
235,75,88,-19.98,cap malheureux,296.31,3.6
236,1,47,32.76,weatherford,296.51,2.1
237,0,17,-25.24,yulara,296.15,9.3
238,1,68,61.58,wasilla,274.17,3.1
239,93,72,43.3,marseille,286.12,4.1
240,90,87,59.64,homer,278.14,2.1
241,90,98,53.65,mackay,272.62,2.1
242,33,49,-26.25,alberton,293.57,1.0
243,0,32,29.16,waddan,294.69,1.5
244,97,66,-10.46,kirakira,302.31,3.18
245,17,73,43.33,tavrichanka,269.15,0.55
246,100,69,-2.67,vanimo,300.45,2.15
247,1,21,39.6,price,285.06,2.6
248,1,58,39.75,wilmington,283.51,5.1
249,1,14,-20.73,mount isa,300.15,7.7
250,100,57,60.91,narsaq,274.74,7.56
251,82,82,0.12,bontang,300.56,4.4
252,95,91,71.64,tiksi,251.07,1.63
253,30,75,-5.67,tual,300.86,3.29
254,0,93,-2.55,djambala,293.54,0.91
255,1,62,43.66,portland,278.54,3.1
256,0,82,-41.87,ancud,282.2,3.4
257,75,62,50.1,sioux lookout,267.15,5.1
258,100,63,61.99,paamiut,276.99,1.69
259,75,54,26.1,hidalgo,300.63,6.2
260,85,73,-6.64,sao felix do xingu,298.4,1.07
261,82,71,24.14,keti bandar,299.93,1.57
262,8,77,22.57,sur,298.23,3.35
263,20,100,53.92,prince george,279.73,3.1
264,0,67,31.68,turayf,288.15,6.2
265,12,92,5.73,foumban,292.55,1.34
266,35,88,10.37,mamou,293.67,0.67
267,20,88,-5.32,galesong,298.15,0.5
268,74,74,-2.88,manggar,302.12,5.96
269,75,78,5.28,victoria,299.02,1.5
270,15,31,43.95,pokrovka,277.61,5.94
271,0,79,63.83,hovd,268.73,5.7
272,20,100,50.92,krasnik,283.16,4.6
273,100,68,70.03,skjervoy,274.29,10.7
274,16,62,-19.53,miandrivazo,297.65,1.47
275,75,93,53.95,orlik,282.08,6.2
276,39,99,16.32,las margaritas,287.96,1.22
277,13,41,42.9,preobrazheniye,279.07,2.14
278,0,31,27.87,adrar,297.15,4.1
279,75,62,-12.18,nhulunbuy,303.15,6.2
280,61,89,64.27,tura,246.17,0.63
281,100,88,48.28,xinqing,271.35,6.31
282,40,74,13.22,bathsheba,301.15,8.7
283,77,57,40.55,oltu,272.8,2.1
284,75,73,-30.64,nambucca heads,290.54,4.6
285,1,50,37.04,liberal,285.96,5.7
286,0,68,30.67,chizhou,286.85,1.17
287,1,38,34.26,tupelo,286.12,2.6
288,0,71,24.93,jamui,293.94,2.96
289,100,88,54.23,burns lake,279.11,2.13
290,100,85,30.54,changli,288.33,1.67
291,1,57,38.65,harrisonville,282.74,2.6
292,85,69,46.12,saint-georges,276.14,2.92
293,50,94,5.52,warri,297.7,1.18
294,100,86,-3.66,namatanai,299.35,4.52
295,0,44,-35.62,ngunguru,299.82,4.47
296,40,69,-25.3,hervey bay,298.72,3.6
297,40,32,-28.95,codrington,300.12,6.7
298,1,78,-29.95,coquimbo,287.81,9.4
299,95,82,65.44,ust-tsilma,270.11,4.6
300,84,99,2.15,micomeseng,293.51,0.47
301,40,74,21.35,makakilo city,301.27,4.6
302,41,72,-0.97,barcelos,300.83,0.83
303,90,100,57.82,juba,275.27,6.2
304,100,99,2.77,isiro,292.33,0.09
305,98,93,62.53,omsukchan,262.39,2.31
306,56,93,45.89,saint-junien,282.23,5.7
307,42,85,14.68,san cristobal,293.4,1.34
308,0,42,30.8,jagraon,292.15,1.16
309,1,14,38.05,benicia,296.44,0.6
310,100,100,53.05,petropavlovsk-kamchatskiy,274.15,3.0
311,0,62,32.94,sukumo,288.37,2.05
312,1,67,36.62,pacific grove,293.72,3.1
313,100,91,5.77,betong,295.24,0.2
314,40,79,68.61,verkhnetulomskiy,266.15,2.0
315,97,95,61.28,yerbogachen,254.87,1.57
316,6,83,-11.1,hualmay,289.8,1.95
317,20,65,-23.68,porto novo,300.15,4.1
318,1,97,7.1,ondo,296.08,1.03
319,100,80,61.92,evensk,270.77,7.8
320,75,68,28.5,puerto del rosario,295.15,4.1
321,96,89,-15.19,namibe,295.77,1.99
322,94,93,36.95,erzin,286.32,0.5
323,75,81,46.61,bulle,281.71,4.1
324,96,91,-29.06,greytown,287.65,1.25
325,2,67,-2.54,labuhan,300.98,0.35
326,0,60,39.85,alcudia,293.78,2.1
327,4,45,49.2,hailar,265.65,4.71
328,20,76,36.4,komatsu,284.3,1.5
329,75,81,51.43,hoyerswerda,282.29,3.6
330,78,83,17.54,san quintin,299.38,1.35
331,2,98,25.7,phek,284.23,0.27
332,1,93,-33.86,esperance,289.15,5.1
333,75,83,66.42,udachnyy,247.15,3.0
334,24,79,62.49,timra,268.32,3.6
335,0,50,-27.8,santiago del estero,298.83,1.24
336,42,14,-28.46,upington,299.15,2.1
337,20,85,55.0,krasnomayskiy,267.15,3.0
338,90,56,49.5,fernie,277.37,3.6
339,75,79,60.82,hay river,267.15,5.7
340,40,93,42.77,muros,284.62,3.6
341,59,83,-0.92,padang,292.71,0.77
342,77,93,13.1,maluanluan,299.26,0.65
343,20,100,33.6,casablanca,291.17,2.1
344,40,92,64.47,uyemskiy,268.15,3.0
345,95,91,5.95,ozubulu,297.32,4.32
346,90,100,49.49,pincher creek,273.18,2.6
347,42,43,-20.74,karratha,299.4,9.02
348,75,87,45.53,dese,285.74,3.1
349,29,92,64.7,pinega,268.07,3.38
350,51,83,13.49,barra,299.15,3.3
351,0,75,51.93,durban,262.43,3.03
352,85,96,63.01,chernyshevskiy,251.41,1.19
353,40,88,8.48,thiruvananthapuram,299.15,1.0
354,37,87,-23.78,ilhabela,297.82,4.27
355,6,86,7.53,bonthe,298.81,1.46
356,24,70,50.23,havre-saint-pierre,276.77,9.95
357,75,67,-37.83,mount gambier,287.15,5.7
358,75,79,65.28,norman wells,266.15,6.2
359,75,87,43.23,tarbes,283.27,3.1
360,1,54,39.41,brigantine,283.8,2.1
361,100,99,53.4,hinton,272.86,1.49
362,40,93,52.12,marienburg,281.91,0.5
363,0,42,-39.94,waipawa,298.15,5.36
364,42,66,10.66,sindou,298.65,0.8
365,75,96,-45.58,coihaique,282.15,4.1
366,0,30,39.15,ukiah,296.77,0.45
367,0,42,-6.53,jucas,301.33,4.21
368,0,68,29.72,dongsheng,287.36,3.68
369,66,77,8.08,kanniyakumari,300.06,1.84
370,18,54,43.42,llanes,283.82,12.77
371,87,88,-12.58,benguela,297.45,1.95
372,31,81,28.06,pasighat,290.48,1.52
373,93,70,42.34,kyzyl-suu,278.44,5.4
374,78,99,7.0,gbarnga,295.21,0.67
375,0,41,18.22,abha,288.67,1.79
376,0,35,43.51,zhengjiatun,274.87,6.09
377,31,73,-6.53,canutama,299.8,1.42
378,68,87,8.92,calabozo,298.32,1.79
379,58,78,9.67,cayhagan,301.26,3.87
380,13,86,35.02,ferma,292.59,0.89
381,20,32,-22.46,calama,293.15,10.3
382,90,59,44.37,pierre,274.61,6.7
383,0,95,5.26,mumford,297.32,0.94
384,1,62,35.74,nishihara,286.0,3.1
385,90,92,49.78,chapais,272.15,6.2
386,95,95,46.27,espanola,278.56,1.79
387,1,53,41.69,harwich,281.23,3.1
388,62,49,36.2,aleppo,289.21,2.72
389,86,94,9.24,magangue,298.6,0.74
390,100,73,-2.02,lorengau,300.74,6.41
391,75,73,-18.65,neiafu,297.15,2.6
392,100,95,62.65,khandyga,261.05,1.92
393,20,78,-5.2,touros,298.15,3.1
394,100,98,-32.03,rio grande,292.04,11.54
395,0,14,18.74,arlit,302.05,3.48
396,0,37,28.33,dhadar,295.7,2.5
397,100,87,57.64,visby,279.42,8.7
398,89,29,42.84,hami,280.88,1.5
399,70,48,39.73,jiuquan,273.5,0.67
400,81,66,50.72,solnechnyy,269.33,1.48
401,75,93,47.92,gezing,280.19,2.1
402,75,74,55.16,kuybyshevskiy zaton,276.15,5.0
403,100,99,60.47,tilichiki,273.89,3.67
404,20,88,-2.39,witu,298.15,4.33
405,0,70,48.62,makarov,277.49,9.08
406,75,69,24.8,hirara,297.15,7.7
407,85,62,41.01,trabzon,285.15,1.0
408,100,90,48.79,birobidzhan,269.29,1.48
409,0,62,-34.29,griffith,285.58,6.7
410,29,90,16.69,santiago,297.36,0.28
411,2,28,10.31,miri,297.6,0.79
412,100,82,9.49,bandarbeyla,300.19,6.89
413,21,59,44.93,bamiantong,274.77,8.21
414,48,64,51.58,baley,263.31,1.14
415,1,62,41.91,monroe,283.98,2.6
416,90,47,42.03,sinop,289.82,3.14
417,75,67,36.85,virginia beach,287.13,2.1
418,20,83,21.28,katol,296.15,1.0
419,100,86,64.25,hofn,274.93,3.98
420,55,98,6.5,okitipupa,296.93,0.55
421,1,78,64.86,college,264.02,4.1
422,95,97,-1.57,omboue,295.37,1.06
423,0,28,30.85,camalu,295.79,2.46
424,11,79,21.46,cockburn town,300.15,7.91
425,100,89,-4.34,kokopo,298.13,10.32
426,36,72,5.1,eydhafushi,301.23,4.54
427,0,85,64.75,skelleftea,264.15,2.1
428,67,54,41.25,zonguldak,284.0,2.97
429,94,85,44.16,terekli-mekteb,281.18,1.12
430,90,66,43.26,hamilton,283.93,8.2
431,75,93,50.36,miechow,281.6,1.0
432,91,92,65.8,turukhansk,257.5,2.88
433,78,83,12.49,oussouye,300.14,1.0
434,53,73,63.44,vestmannaeyjar,278.56,6.14
435,54,77,52.42,imeni poliny osipenko,270.75,3.03
436,74,93,48.35,les escoumins,272.38,1.01
437,92,74,60.72,qaqortoq,276.56,17.16
438,75,79,50.29,swift current,268.15,2.6
439,75,88,-20.21,quatre cocos,296.33,3.6
440,39,36,44.63,krasnorechenskiy,275.69,0.91
441,97,84,68.06,bilibino,260.67,1.23
442,62,81,-3.2,altamira,298.9,0.78
443,83,84,-2.68,pangkalanbuun,299.9,0.77
444,21,70,-3.74,anori,300.8,1.22
445,90,63,43.65,aktau,277.15,9.0
446,100,92,63.79,muravlenko,265.36,12.41
447,75,88,10.0,bahile,299.15,2.1
448,1,67,40.6,fortuna,289.59,3.6
449,75,88,-15.12,nampula,297.15,1.0
450,20,78,0.61,muisne,300.15,4.1
451,100,86,-4.26,itaituba,298.23,0.59
452,0,22,11.84,maiduguri,300.11,3.22
453,40,56,55.1,la ronge,264.15,3.6
454,0,63,25.29,chabahar,297.5,0.53
455,75,74,14.51,ocos,302.67,3.1
456,100,92,2.1,rantauprapat,296.38,0.86
457,75,73,24.44,yuanli,294.91,8.7
458,90,58,-35.36,ulladulla,287.41,6.2
459,0,77,-1.2,carutapera,300.68,8.44
460,0,83,48.65,bonavista,275.93,2.68
461,40,100,-2.3,macas,294.15,4.1
462,0,34,42.12,mujiayingzi,273.69,2.24
463,5,60,46.09,dieppe,277.15,2.6
464,100,78,-16.11,lakatoro,299.8,6.79
465,0,76,33.64,ilam,282.15,2.1
466,65,82,5.38,sinnamary,301.06,8.51
467,78,58,46.45,vostok,270.15,1.09
468,100,86,3.81,wajid,296.26,4.91
469,1,62,-6.9,tuban,300.38,5.92
470,53,78,-2.04,maracacume,297.15,2.42
471,100,74,4.8,manuk mangkaw,302.38,4.64
472,67,57,-6.6,paulista,300.31,7.8
473,72,68,-6.22,kieta,301.61,0.16
474,0,66,36.98,laiyang,280.37,3.41
475,7,65,24.47,diplo,300.0,1.94
476,90,100,63.17,mustasaari,268.68,2.6
477,20,94,9.54,ko samui,299.15,1.5
478,100,90,36.1,bayan,273.6,0.63
479,0,46,29.03,kalat,282.14,0.57
480,75,66,-14.91,putina,283.15,6.2
481,20,88,10.16,point fortin,299.79,2.6
482,1,69,25.94,helong,286.93,1.93
483,0,31,34.69,kifri,292.62,4.58
484,100,95,56.6,aizkraukle,277.04,1.79
485,75,26,23.99,constitucion,297.79,1.5
486,0,88,-16.23,angoche,296.64,1.74
